site_id,date,site_orders,site_views,site_units,site_revenue,impressions,clicks,channel_orders,cost,channel_revenue,channel_aov,cr,site_aov,cos
1,2/28/2017,10,2278,11,4758.50,102179,1753,8,776.97,5187.35,648.4187598,0.0046,475.85,0.1498
2,3/4/2017,16,743,50,1356.62,29236,180,4,80.79,224.81,56.20249987,0.0222,84.79,0.3594
3,3/10/2017,127,2584,1107,7386.25,120537,1505,88,199.6,3128.70,35.55340939,0.0585,58.16,0.0638
3,3/8/2017,132,2707,882,4803.11,124084,1576,83,208.85,2735.95,32.96325312,0.0527,36.39,0.0763
4,3/4/2017,1608,238781,10816,128579.15,178064,2364,79,1170.8,4875.28,61.71240504,0.0334,79.96,0.2402
5,2/27/2017,85,8704,521,3639.39,159358,1628,40,258.67,1497.07,37.42675009,0.0246,42.82,0.1728
6,2/27/2017,1869,201941,6201,160554.07,223905,2221,80,1197.99,4109.59,51.36987462,0.0360,85.90,0.2915
7,2/28/2017,6,304,9,710.99,11432,68,2,54.99,110.61,55.30500031,0.0294,118.50,0.4972
8,3/15/2017,1865,24569,4654,58539.50,92430,2268,89,354.97,6261.47,70.35359574,0.0392,31.39,0.0567
9,3/8/2017,260,24771,1081,77492.05,326314,4976,83,1158.3,18137.70,218.5265054,0.0167,298.05,0.0639
10,3/18/2017,45,3272,268,10381.71,33201,439,9,237.16,1262.55,140.2833332,0.0205,230.70,0.1878
11,3/15/2017,62,4331,91,4447.79,77454,1362,36,367.29,3117.93,86.60916715,0.0264,71.74,0.1178
12,3/14/2017,7,2529,13,2512.35,26176,372,2,137.27,1094.70,547.3500061,0.0054,358.91,0.1254
13,3/9/2017,76,7227,266,4820.00,8161,115,6,71.85,248.86,41.47666613,0.0522,63.42,0.2887
14,3/20/2017,2,19507,14,424.00,31695,298,7,164.44,371.48,53.06857082,0.0235,212.00,0.4427
15,2/28/2017,58,3135,333,13336.02,46637,589,14,189.71,2367.34,169.0957157,0.0238,229.93,0.0801
